,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
5124,Queen's Park,Queen's Park,43.6623015,-79.3894938,The Yoga Sanctuary,43.661499497597596,-79.38363613350754,Yoga Studio
5125,Queen's Park,Queen's Park,43.6623015,-79.3894938,Tabriz Persian Cookhouse,43.66533,-79.387484,Persian Restaurant
5126,Queen's Park,Queen's Park,43.6623015,-79.3894938,T-Swirl Crepe,43.663452,-79.384125,Creperie
5127,Queen's Park,Queen's Park,43.6623015,-79.3894938,401 Games,43.663623277853254,-79.3840374323983,Hobby Shop
5128,Queen's Park,Queen's Park,43.6623015,-79.3894938,Curry's Art Store Ltd.,43.66283810530193,-79.38373201352064,Arts & Crafts Store
5129,Queen's Park,Queen's Park,43.6623015,-79.3894938,Starbucks,43.6595874273128,-79.3852515870617,Coffee Shop
5130,Queen's Park,Queen's Park,43.6623015,-79.3894938,Hero Certified Burgers,43.66506305816304,-79.38729454806868,Burger Joint
5131,Queen's Park,Queen's Park,43.6623015,-79.3894938,Coach House Restaurant,43.66499059853204,-79.38481415727767,Diner
5132,Queen's Park,Queen's Park,43.6623015,-79.3894938,Burrito Bandidos,43.662962178169344,-79.38395554190546,Burrito Place
5133,Queen's Park,Queen's Park,43.6623015,-79.3894938,Starbucks (MaRS),43.65924242382561,-79.39075008253937,Coffee Shop
5134,Queen's Park,Queen's Park,43.6623015,-79.3894938,The Captain's Boil,43.662374914979594,-79.38353475807129,Seafood Restaurant
5135,Queen's Park,Queen's Park,43.6623015,-79.3894938,Tokyo Grill,43.665085238149395,-79.38470692554789,Japanese Restaurant
5136,Queen's Park,Queen's Park,43.6623015,-79.3894938,Bubble Bath & Spa,43.65904951746615,-79.38534357912432,Spa
5137,Queen's Park,Queen's Park,43.6623015,-79.3894938,Buddies In Bad Times Theatre,43.663058539371825,-79.38344927771267,Nightclub
5138,Queen's Park,Queen's Park,43.6623015,-79.3894938,Fran's,43.661255320138636,-79.38389304122866,Diner
5139,Queen's Park,Queen's Park,43.6623015,-79.3894938,Crown Princess Fine Dining 伯爵名宴,43.66645492941117,-79.38769789187712,Chinese Restaurant
5140,Queen's Park,Queen's Park,43.6623015,-79.3894938,W Burger Bar,43.66133100835633,-79.3835570768382,Burger Joint
5141,Queen's Park,Queen's Park,43.6623015,-79.3894938,Starbucks,43.65855667717368,-79.39019554279864,Coffee Shop
5142,Queen's Park,Queen's Park,43.6623015,-79.3894938,Mr. Tonkatsu,43.66438157920901,-79.38440717744646,Japanese Restaurant
5143,Queen's Park,Queen's Park,43.6623015,-79.3894938,Booster Juice,43.65865699,-79.38868207,Smoothie Shop
5144,Queen's Park,Queen's Park,43.6623015,-79.3894938,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
5145,Queen's Park,Queen's Park,43.6623015,-79.3894938,Starbucks,43.66041220474521,-79.39269202304281,Coffee Shop
5146,Queen's Park,Queen's Park,43.6623015,-79.3894938,Hart House Gym,43.66417202442517,-79.39488839857401,Gym
5147,Queen's Park,Queen's Park,43.6623015,-79.3894938,Tim Hortons,43.66100683315669,-79.39378917217255,Coffee Shop
5148,Queen's Park,Queen's Park,43.6623015,-79.3894938,Subway,43.658720367952235,-79.39090229383463,Sandwich Place
5149,Queen's Park,Queen's Park,43.6623015,-79.3894938,Convocation Hall,43.66082829233904,-79.39524545662506,College Auditorium
5150,Queen's Park,Queen's Park,43.6623015,-79.3894938,Tim Hortons,43.6582089,-79.3906346,Coffee Shop
5151,Queen's Park,Queen's Park,43.6623015,-79.3894938,Tim Hortons,43.6594149,-79.3912214,Coffee Shop
5152,Queen's Park,Queen's Park,43.6623015,-79.3894938,Tim Hortons,43.658599,-79.388498,Coffee Shop
5153,Queen's Park,Queen's Park,43.6623015,-79.3894938,SUDS,43.65988035580764,-79.39471219966201,Bar
5154,Queen's Park,Queen's Park,43.6623015,-79.3894938,The Green Beet Cafe,43.6619963272208,-79.39418070782837,Vegetarian / Vegan Restaurant
5155,Queen's Park,Queen's Park,43.6623015,-79.3894938,Gallery Grill,43.663841,-79.394309,Restaurant
5156,Queen's Park,Queen's Park,43.6623015,-79.3894938,Hart House Music Room,43.663758129167384,-79.39502654389076,Music Venue
6879,Scarborough,Rouge,43.806686299999996,-79.19435340000001,Wendy's,43.80744841934756,-79.19905558052072,Fast Food Restaurant
6880,Scarborough,Malvern,43.806686299999996,-79.19435340000001,Wendy's,43.80744841934756,-79.19905558052072,Fast Food Restaurant
6881,North York,Don Mills North,43.745905799999996,-79.352188,LA Fitness,43.74766522888878,-79.34707696065234,Gym / Fitness Center
6882,North York,Don Mills North,43.745905799999996,-79.352188,Island Foods,43.745866073988985,-79.34603533317939,Caribbean Restaurant
6883,North York,Don Mills North,43.745905799999996,-79.352188,Baretto Caffé,43.74445646349851,-79.34645978471785,Café
6884,North York,Don Mills North,43.745905799999996,-79.352188,Gonoe Sushi,43.74573681959921,-79.34599119916211,Japanese Restaurant
6897,East York,Woodbine Gardens,43.7063972,-79.309937,Jawny Bakers,43.705782646822,-79.31291304477831,Gastropub
6898,East York,Woodbine Gardens,43.7063972,-79.309937,Toronto Climbing Academy,43.70913601216024,-79.31479000098285,Rock Climbing Spot
6899,East York,Woodbine Gardens,43.7063972,-79.309937,East York Gymnastics,43.710654,-79.309279,Gym / Fitness Center
6900,East York,Woodbine Gardens,43.7063972,-79.309937,Shoppers Drug Mart,43.705891688821325,-79.31241024393087,Pharmacy
6901,East York,Woodbine Gardens,43.7063972,-79.309937,TD Canada Trust,43.705739883755946,-79.31227013468737,Bank
6902,East York,Woodbine Gardens,43.7063972,-79.309937,Pizza Pizza,43.70515901620182,-79.31312955571528,Pizza Place
6903,East York,Woodbine Gardens,43.7063972,-79.309937,Nostalgia,43.706832771917064,-79.31178314223835,Café
6904,East York,Woodbine Gardens,43.7063972,-79.309937,East York Animal Clinic,43.70592051370348,-79.3121958344716,Pet Store
6905,East York,Woodbine Gardens,43.7063972,-79.309937,Rise & Dine Eatery,43.705769,-79.311638,Breakfast Spot
6906,East York,Woodbine Gardens,43.7063972,-79.309937,Harvey's,43.71072995920288,-79.30883762217763,Fast Food Restaurant
6907,East York,Woodbine Gardens,43.7063972,-79.309937,St. Clair Ave E & O'Connor Dr,43.70523283448301,-79.31327432821826,Intersection
6908,East York,Woodbine Gardens,43.7063972,-79.309937,Venice Pizza,43.70592051370348,-79.31395663414658,Pizza Place
6909,East York,Woodbine Gardens,43.7063972,-79.309937,Harvey's,43.70813627814792,-79.3141045886623,Fast Food Restaurant
6910,East York,Woodbine Gardens,43.7063972,-79.309937,TKTO - Toronto Knife Throwing Organization,43.7099660731501,-79.31341111891099,Athletics & Sports
7093,East York,Parkview Hill,43.7063972,-79.309937,Jawny Bakers,43.705782646822,-79.31291304477831,Gastropub
7094,East York,Parkview Hill,43.7063972,-79.309937,Toronto Climbing Academy,43.70913601216024,-79.31479000098285,Rock Climbing Spot
7095,East York,Parkview Hill,43.7063972,-79.309937,East York Gymnastics,43.710654,-79.309279,Gym / Fitness Center
7096,East York,Parkview Hill,43.7063972,-79.309937,Shoppers Drug Mart,43.705891688821325,-79.31241024393087,Pharmacy
7097,East York,Parkview Hill,43.7063972,-79.309937,TD Canada Trust,43.705739883755946,-79.31227013468737,Bank
7098,East York,Parkview Hill,43.7063972,-79.309937,Pizza Pizza,43.70515901620182,-79.31312955571528,Pizza Place
7099,East York,Parkview Hill,43.7063972,-79.309937,Nostalgia,43.706832771917064,-79.31178314223835,Café
7100,East York,Parkview Hill,43.7063972,-79.309937,East York Animal Clinic,43.70592051370348,-79.3121958344716,Pet Store
7101,East York,Parkview Hill,43.7063972,-79.309937,Rise & Dine Eatery,43.705769,-79.311638,Breakfast Spot
